id,report,drug_to_report,final_reported_answer,strategy
1,"{""data"": [[""1"", ""died""], [""2"", ""died""], [""3"", ""survived""], [""3"", ""survived""], [""3"", ""survived""], [""3"", ""survived""], [""3"", ""died""], [""2"", ""died""], [""3"", ""survived""], [""3"", ""died""]], ""report"": {""style"": ""full"", ""drug_to_report"": ""3""}}",3.0,"{""Report the number of rats that survived for the chosen container:"": 5, ""Report the number of rats that died for the chosen container:"": 2}",N/A
2,"{""data"": [[""2"", ""survived""], [""1"", ""survived""], [""3"", ""died""], [""1"", ""survived""], [""2"", ""died""], [""3"", ""died""], [""1"", ""died""], [""3"", ""survived""], [""3"", ""died""], [""2"", ""died""]], ""report"": {""style"": ""subset"", ""drug_to_report"": ""3""}}",3.0,"{""Please select a subset of your data that you would like to report (you can select more than one item)."": [""Rat #3: died"", ""Rat #6: died"", ""Rat #9: died""]}",AFTER A RAT DIED I WOULD CHOOSE THAT SAME TUBE AS UNLIKELY TO HAVE 2 DIE IN A ROW
3,"{""data"": [[""1"", ""died""], [""2"", ""survived""], [""3"", ""died""], [""2"", ""survived""], [""2"", ""died""], [""2"", ""died""], [""2"", ""survived""], [""2"", ""died""], [""2"", ""died""], [""2"", ""died""]], ""report"": {""style"": ""headline"", ""drug_to_report"": ""2""}}",2.0,38,I tried all three and then stuck to the only one that survived in the first round
4,"{""data"": [[""2"", ""died""], [""1"", ""died""], [""3"", ""died""], [""1"", ""survived""], [""1"", ""survived""], [""1"", ""died""], [""2"", ""survived""], [""2"", ""survived""], [""2"", ""died""], [""3"", ""died""]], ""report"": {""style"": ""subset"", ""drug_to_report"": ""1""}}",1.0,"{""Please select a subset of your data that you would like to report (you can select more than one item)."": [""Rat #2: died"", ""Rat #4: survived"", ""Rat #5: survived"", ""Rat #6: died""]}","I tried each pill on the first 3 rats, then went back to pill 1 when all 3 rats died, when rat 4 survived i carried on using pill 1 until another rat had died, then moved onto pill 2. "
5,"{""data"": [[""1"", ""survived""], [""2"", ""survived""], [""3"", ""died""], [""1"", ""survived""], [""2"", ""died""], [""3"", ""survived""], [""1"", ""survived""], [""2"", ""died""], [""3"", ""died""], [""1"", ""died""]], ""report"": {""style"": ""headline"", ""drug_to_report"": ""1""}}",1.0,75,"I wanted to ensure each pill had the maximum possible opportunities to work or fail on the rats, hence giving each pill out 3 times. For the last rat, I thought about the previous results of each pill (whether the rat had died or survived), and chose to give the pill that had performed most consistently, in order to test if the pill's performance was universal. "
6,"{""data"": [[""1"", ""died""], [""2"", ""survived""], [""2"", ""survived""], [""2"", ""died""], [""3"", ""died""], [""2"", ""survived""], [""2"", ""died""], [""1"", ""died""], [""2"", ""survived""], [""2"", ""died""]], ""report"": {""style"": ""headline"", ""drug_to_report"": ""2""}}",2.0,57,once i found a pill that the rat survived i gave it to the other rats
7,"{""data"": [[""1"", ""died""], [""1"", ""died""], [""1"", ""died""], [""2"", ""survived""], [""2"", ""survived""], [""2"", ""died""], [""3"", ""survived""], [""3"", ""died""], [""3"", ""died""], [""2"", ""died""]], ""report"": {""style"": ""full"", ""drug_to_report"": ""2""}}",2.0,"{""Report the number of rats that survived for the chosen container:"": 2, ""Report the number of rats that died for the chosen container:"": 2}",I tried container 1 first but three rats died in a row so I moved onto container 2. More mixed results here. Then I tried container three.
8,"{""data"": [[""1"", ""survived""], [""2"", ""survived""], [""3"", ""survived""], [""1"", ""died""], [""2"", ""survived""], [""3"", ""died""], [""1"", ""died""], [""2"", ""survived""], [""3"", ""died""], [""1"", ""died""]], ""report"": {""style"": ""subset"", ""drug_to_report"": ""2""}}",2.0,"{""Please select a subset of your data that you would like to report (you can select more than one item)."": [""Rat #2: survived"", ""Rat #5: survived"", ""Rat #8: survived""]}","I wanted to make sure each container was used equally. That way the percentage of survival would be easier to associate with each container, and the likely hood of discovering a reliable pill to a defunct one would be easier to identify for future studies."
9,"{""data"": [[""1"", ""survived""], [""2"", ""died""], [""3"", ""survived""], [""1"", ""died""], [""2"", ""died""], [""3"", ""died""], [""1"", ""survived""], [""1"", ""died""], [""3"", ""survived""], [""2"", ""survived""]], ""report"": {""style"": ""full"", ""drug_to_report"": ""1""}}",1.0,"{""Report the number of rats that survived for the chosen container:"": 5, ""Report the number of rats that died for the chosen container:"": 5}","guess work, i had no idea what to think with the answers i was given"
11,"{""data"": [[""1"", ""died""], [""2"", ""survived""], [""3"", ""survived""], [""2"", ""died""], [""3"", ""died""], [""2"", ""died""], [""3"", ""died""], [""1"", ""survived""], [""1"", ""survived""], [""1"", ""survived""]], ""report"": {""style"": ""subset"", ""drug_to_report"": ""1""}}",1.0,"{""Please select a subset of your data that you would like to report (you can select more than one item)."": [""Rat #1: died"", ""Rat #8: survived"", ""Rat #9: survived"", ""Rat #10: survived""]}","To try them all to start with. It showed i shouldn't just go with the first results, as 1 proved"
